WORD,TYPE,PLURAL,SYNONYM,ANTONYM
أمام,اسم,,,وراء
أمان,اسم,,,خطر
أمانة,اسم,,,خيانة;سرقة
أمة,اسم,أمم,أمم,حرّة;سيّدة
أمة,اسم,إماء,,
أمت,اسم,إمات,,
أمثولة,اسم,أماثيل,,
أمد,اسم,آماد,آماد,حلم;بداية;خذل
أمدر,اسم,,,ضامر
أمدش,اسم,,,سمين
أمدوحة,اسم,أماديح,,
أمر,اسم,أمور,أمور,نهى;نهي
أمر,اسم,أوامر,,
أمر,اسم,مكافيف,,
أمر,اسم,أكفاء,,
أمر,اسم,ندام,,
أمر,اسم,نوادم,,
أمر,اسم,ندامى,,
أمرة,اسم,أمر,أمر,نقصان
أمرد,اسم,,,ملتحي
أمرش,اسم,,,خيّر
أمرغ,اسم,,,طهّر;أكرم;طاهر
أمروع(منالأرض),اسم,,,
أمروعة,اسم,أماريع,,جدباء
أمز,اسم,,,أسوأ;سهل
أمزر,اسم,أمازر,,رذيلة
أمزر(منالناس),اسم,,,
أمس,اسم,,,غدا;يوم;الغد
أمسح,اسم,أماسح,أماسح,صادق
أمسح,اسم,مساحي,,
أمسوح,اسم,أماسيح,,
أمسية,اسم,أماسي,أماسي,صبحية
أمشق,اسم,مشق,,
أمطي,اسم,,,أحدب
أمل,اسم,آمال,آمال,يئس;قنط;أيس;يأس;قنوط
أملج,اسم,ملج,,
أملد,اسم,,,صلب;خشن
أملس,اسم,,,خشن
أملوج,اسم,أماليج,أماليج,صلب;غليظ;قاسي
أملود,اسم,أماليد,أماليد,قاسي;خشن
أملولة,اسم,أماليل,,
أمنة,اسم,,,خوف;تهديد;شاكّ
أمنية,اسم,أماني,,
أمومة,اسم,,,أبوة
أمون,اسم,أمن,,
أمي,اسم,,,متعلم;مثقّف
أمية,اسم,,,ثقافة;علم
أمير,اسم,أمراء,,
أمين,اسم,أمناء,أمناء,خائن;سارق;مختلس
أناة,اسم,أنوات,أنوات,لجاجة
أناقة,اسم,,,دمامة
أنباذ,اسم,,,أفاضل
أنباذ(الناس),اسم,,,
أنبار,اسم,أنابير,,
أنبس(منالوجوه),اسم,,,
أنبوب,اسم,أنابيب,,
أنبوش,اسم,أنابيش,,
أنثى,اسم,إناث,إناث,مدح;ذكر
أنثى,اسم,هوذ,,
أنخب,اسم,,,شجاع
أنخفان,اسم,,,
أندخ,اسم,,,ذكيّ;فطن
أنشودة,اسم,أناشيد,,
أنشوطة,اسم,أناشيط,,
أنصوبة,اسم,أناصيب,,
أنصولة,اسم,أناصيل,,
أنط,اسم,نط,,
أنظومة,اسم,أناظيم,,
أنف,اسم,أنوف,أنوف,شهو;ذلّ
أنفة,اسم,,,ذلّ;خساسة;سفالة;انحطاط
أنفخان,اسم,,,هزيل;نحيل
أنفوضة,اسم,أنافيض,,
أنكب,اسم,نكب,,
أنمر,اسم,نمر,,
أنمس,اسم,نمس,,أصلح
أنمص,اسم,نمص,,
أنملة,اسم,أنامل,,
أنوثة,اسم,,,خشونة;ليونة
أنوس,اسم,أنس,أنس,متوحّش
أنوف,اسم,أنف,أنف,خسيس
أنوك,اسم,نوكي,نوكي,فطن;ذكيّ
أنوك,اسم,نوك,,
أنيب,اسم,نيب,,
أنيث,اسم,,,صلب
أنيس,اسم,,,متوحّش;فظّ;جلف
أنيق,اسم,,,مزري;دميم
أهبة,اسم,أهب,أهب,تراخي
أهبل,اسم,هبل,هبل,عاقل
أهجوة,اسم,أهاجي,,مدحة
أهجية,اسم,أهاجي,,مدحة
أهد,اسم,,,شجاع
أهدب,اسم,هدب,,
أهصاء,اسم,,,ضعفاء
أهضم,اسم,,,بدين
أهضوبة,اسم,أهاضيب,,
أهفاء,اسم,,,عقلاء;أذكياء
أهكاء,اسم,,,واثقون;متأكّدون
أهكومة,اسم,,,إكرام;تقدير
أهل,اسم,أهال,أهال,عزب;أقفر;توحّش;أوحش;خلا;أباعد
أهنع,اسم,هنع,,
أهوج,اسم,,,جبان
أهوس,اسم,,,عاقل
أهوك,اسم,,,عاقل
أهون,اسم,,,أصعب
أهيس,اسم,,,جبان
أهيف,اسم,,,بدين
أهيق,اسم,,,أوقص
أهيم,اسم,هيم,هيم,مرتوي;ريّان
أهين,اسم,,,أصعب
أواب,اسم,,,عاصي
أوابد(منالطيور),اسم,,,دواجن
أواخر,اسم,,,أوائل
أوادم,اسم,,,رذال;أردياء;أخسّة
أوار,اسم,أور,أور,برد;قرّ;ارتواء
أوالف,اسم,,,برّيّة
أوالف-منالطيور-,اسم,,,
أوام,اسم,,,ارتواء
أوان,اسم,آونة,,
أوباد,اسم,,,مكتفون
أوباد-منالقوم-,اسم,,,
أوباش-الناس-,اسم,,,
أوباش(الناس),اسم,,,أفاضل;أعيان;أماثل;صفوة
أوبة,اسم,,,ذهاب
أوتوقراطي,اسم,,,ديمقراطيّ
أوتوقراطية,اسم,,,ديمقراطيّة
أوج,اسم,,,حضيض;سفل
أوجر,اسم,,,مطمئن
أوجم,اسم,,,بعض
أوجم(الشيء),اسم,,,
أورق,اسم,ورق,,
أوره,اسم,,,عاقل
أوزاغ,اسم,,,شجعان
أوسط,اسم,أواسط,,متطرّف
أوسط,اسم,وسط,,
أوسم,اسم,,,أقبح;أبشع
أوطاد,اسم,,,أودية
أوعس,اسم,وعس,وعس,أوكح
أوفاض,اسم,,,أغنياء;شجعان
أوفاض(الناس),اسم,,,
أوقاش,اسم,,,أفاضل;أشراف
أوقاص,اسم,,,مجتمعون
أوقة,اسم,أوق,,
أوقص,اسم,,,أهيق
أوقية,اسم,أواق,,
أوكس,اسم,,,ربح;أبيّ;محظوظ;أكمل
أوكع,اسم,,,فطن
أول,اسم,أوائل,أوائل,آخر;أخير
أولى,اسم,أول,,
أولى,اسم,أولون,,
أولى,اسم,ولييات,,
